CCM cat.,CCM abbr.,CCM,,,,
SIDS: Other,AS,American Samoa,,,,
FFA: Other,AU,Australia,,,,
DWFN,CA,Canada,,,,
FFA: SPG,CK,Cook Islands,,,,
DWFN,CN,China,,,,
DWFN,ES,Spain,,,,
FFA: SPG,FJ,Fiji,,,,
FFA: PNA+,FM,Federated States of Micronesia,,,,
DWFN,ID,Indonesia,,,,
DWFN,JP,Japan,,,,
FFA: PNA+,KI,Kiribati,,,,
DWFN,KR,Korea,,,,
SIDS: Other,NC,New Caledonia,,,,
FFA: Other,NZ,New Zealand,,,,
SIDS: Other,PF,French Polynesia,,,,
FFA: PNA+,PG,Papua New Guinea,,,,
FFA: PNA+,SB,Solomon Islands,,,,
FFA: SPG,TO,Tonga,,,,
FFA: PNA+,TV,Tuvalu,,,,
DWFN,TW,Chinese Taipei,,,,
DWFN,US,United States,,,,
FFA: SPG,VU,Vanuatu,,,,
FFA: SPG,WS,Samoa,,,,
